Time,Temperature,Set_Point
1.4666668529100767e-06,29.44,Ndef
1.027018797081752,29.44,Ndef
2.0559706610756394,29.45,Ndef
3.083881191603961,29.46,Ndef
4.112035188829865,29.47,Ndef
5.13905545257847,29.48,Ndef
6.166882383096175,29.5,Ndef
7.1940434468626595,29.51,Ndef
8.223026110860458,29.52,Ndef
9.249946152374115,29.53,20.0
10.278076682930372,29.55,20.0
11.305818057881659,29.56,20.0
12.334040499560698,29.57,20.0
13.361062718865107,29.58,20.0
15.73497106475823,29.59,20.0
16.76188279515972,29.58,20.0
17.79002017016129,29.56,20.0
18.817055100578425,29.52,20.0
19.845029186670374,29.47,20.0
20.872032339305694,29.4,20.0
21.89983482537585,29.32,20.0
22.927022289145686,29.23,20.0
23.95606606426236,29.13,20.0
24.983022772447335,29.02,20.0
26.01086534741147,28.9,20.0
37.167044275180224,27.22,20.0
38.19483796124926,27.05,20.0
39.223024714034885,26.88,20.0
40.25102911124179,26.7,20.0
41.27984995299682,26.53,20.0
42.30702519454288,26.36,20.0
43.336027902987674,26.19,20.0
44.36395896685193,26.02,20.0
45.39183527515369,25.85,20.0
46.41908287226449,25.68,20.0
47.44707064724707,25.51,20.0
48.47383962207487,25.34,20.0
49.50201757485937,25.17,20.0
50.711021861717064,24.97,20.0
51.73902528114607,24.81,20.0
52.76806172292847,24.65,20.0
53.79502869778142,24.48,20.0
54.82286198385549,24.32,20.0
